file_path,title,artist,album,genre,year,length
C:\Users\marius\Desktop\Musik\00er\3OH!3 - STARSTRUKK (feat. Katy Perry).mp3,STARSTRUKK (feat. Katy Perry),3OH!3,DONTTRUSTME (International),,2010,203.1281632653061
C:\Users\marius\Desktop\Musik\00er\50 Cent - In Da Club.mp3,In Da Club,50 Cent,Get Rich Or Die Tryin',,2007,193.46666666666667
C:\Users\marius\Desktop\Musik\00er\Akon - Beautiful.mp3,Beautiful,Akon,Freedom,,2008,312.9866666666667
C:\Users\marius\Desktop\Musik\00er\Akon - Right Now (Na Na Na).mp3,Right Now (Na Na Na),Akon,Freedom,,2008,240.74666666666667
C:\Users\marius\Desktop\Musik\00er\Akon - Smack That.mp3,Smack That,Akon,Smack That,,2008,213.32
C:\Users\marius\Desktop\Musik\00er\Alesso - Years.mp3,Years,Alesso,Years,,2012,277.50666666666666
C:\Users\marius\Desktop\Musik\00er\Alligatoah - Willst du.mp3,Willst du,Alligatoah,Willst du,,2013,218.96417233560092
C:\Users\marius\Desktop\Musik\00er\Avicii - Levels.mp3,Levels,Avicii,Levels,,2011,338.86172335600907
C:\Users\marius\Desktop\Musik\00er\Avril Lavigne - Sk8er Boi.mp3,Sk8er Boi,Avril Lavigne,Let Go,Pop,2002-06-04,204.0
C:\Users\marius\Desktop\Musik\00er\Basshunter - Boten Anna.mp3,Boten Anna,Basshunter,LOL (International version),,2006,208.81333333333333
C:\Users\marius\Desktop\Musik\00er\Basshunter - DotA.mp3,DotA,Basshunter,LOL (International version),,2006,200.56
C:\Users\marius\Desktop\Musik\00er\Black Eyed Peas - Boom Boom Pow.mp3,Boom Boom Pow,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) (Deluxe Version),,2009,251.44
C:\Users\marius\Desktop\Musik\00er\Black Eyed Peas - I Gotta Feeling.mp3,I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) (International Version),,2009,289.1333333333333
C:\Users\marius\Desktop\Musik\00er\Black Eyed Peas - Meet Me Halfway.mp3,Meet Me Halfway,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) (Deluxe Version),,2009,284.37333333333333
C:\Users\marius\Desktop\Musik\00er\Chris Brown - Ayo.mp3,Ayo,Chris Brown,Fan of A Fan The Album (Expanded Edition),,2015,225.22666666666666
C:\Users\marius\Desktop\Musik\00er\Chris Brown - Five More Hours.mp3,Five More Hours,"Chris Brown, Deorro",Five More Hours,Dance,2015-03-03,211.97537414965987
